Year,Product,Rep,Type,North,South,East,West
2002,PS,KoDiEn,Rol,1.37,0.44,0,0.08
2004,GBA,KoDiEn,Mis,0.42,0.16,0.15,0.01
2002,GB,KoDiEn,Str,0,0,1.1,0
2001,GB,KoDiEn,Str,0,0,1.61,0.01
2009,GBA,KoDiEn,Rol,0.2,0.08,0,0.01
2007,GBA,KoDiEn,Mis,0.32,0.12,0,0.01
2003,GB,KoDiEn,Mis,0,0,0.83,0
2007,PTwo,KoDiEn,Mis,0.22,0.17,0,0.06
2008,GBA,KoDiEn,Mis,0.3,0.11,0,0.01
2013,Wii,KoDiEn,Str,0.11,0.02,0.02,0.01
2014,DS,KoDiEn,Str,0.1,0.03,0.07,0.01
2013,DS,KoDiEn,Str,0.18,0.02,0.09,0.02
,Wii,Un,Rac,0,0,0.02,0
2012,Wii,KoDiEn,Rac,0.09,0.01,0,0.01
2014,PSP,KoDiEn,Str,0,0,0.16,0
2013,PSP,KoDiEn,Str,0.13,0.05,0.14,0.03
2012,PSP,KoDiEn,Str,0.19,0.07,0.12,0.06
2012,DS,KoDiEn,Act,0.27,0.01,0.09,0.03
2007,GBA,At,Str,0.08,0.03,0,0
,PTwo,na,Fig,0.1,0.08,0,0.03
2006,GBA,At,Act,0.21,0.08,0,0.01
2013,PSP,FaCo,Rol,0.09,0,0.04,0.01
2008,PTwo,KoDiEn,Rol,0.07,0.05,0,0.02
2009,PSP,KoDiEn,Rol,0.04,0,0,0
2015,PSV,NiFaCo,Act,0.15,0.01,0.1,0.04
2013,PSP,FaCo,Fig,0,0,0.06,0
2019,PSV,NiFaCo,Rol,0,0,0.09,0
2012,PSP,FaCo,Rol,0.14,0,0.08,0.01
2012,PSP,FaCo,Rol,0.05,0,0.03,0.01
2018,3DS,NaBaGa,Act,0,0,0.04,0
2007,XB,re,Spo,0.07,0.02,0,0
2008,PTwo,re,Spo,0.02,0.02,0,0.01
2011,360,MiGaSt,Mis,0.27,0.17,0,0.05
2015,WiiU,Ub,Act,0.06,0.07,0,0.01
2014,360,Ub,Spo,0.7,0.37,0,0.1
2013,360,Ub,Spo,0.79,0.42,0,0.11
2012,Wii,Ub,Spo,1.51,0.47,0,0.18
2016,PS3,NaBaGa,Act,0.06,0.02,0,0.01
2016,Wii,NaBaGa,Act,0,0.03,0,0
2016,3DS,NaBaGa,Act,0.03,0,0,0
2016,360,NaBaGa,Act,0,0.01,0,0
2003,PS,ViGa,Mis,0.06,0.04,0,0.01
1998,PC,ViGa,Mis,0.01,0,0,0
2002,PS,ViGa,Mis,0.22,0.15,0,0.03
2014,Wii,TH,Mis,0.2,0,0,0.01
2014,360,TH,Mis,0.19,0,0,0.01
2014,PS3,TH,Mis,0.16,0,0,0.01
2014,DS,TH,Mis,0.07,0,0,0.01
2018,WiiU,Ni,Pla,0.61,0.47,0.11,0.1
2000,N64,Ni,Pla,1.29,0.53,0.98,0.05
2017,3DS,Ni,Pla,0.47,0.51,0.28,0.09
2009,DS,Ni,Pla,1.47,0.07,1.1,0.15
1995,GB,Ni,Puz,0.59,0.24,0.82,0.03
1995,NES,Ni,Puz,0.41,0.06,0.63,0.02
2008,DS,Ni,Pla,0,0,0.22,0
2008,DS,Ni,Pla,0.34,0.02,0,0.03
2007,GBA,Ni,Pla,0.25,0.09,0.3,0.01
1994,NES,Ni,Puz,0.7,0.13,0.91,0.01
1994,GB,Ni,Puz,0,0,0.73,0
2018,PFour,TeKo,Rol,0,0,0.08,0
2018,PSV,TeKo,Rol,0,0,0.07,0
2018,PS3,TeKo,Rol,0,0,0.05,0
2014,360,Un,Mis,0.11,0.09,0,0.02
2014,PS3,Un,Mis,0.04,0.05,0,0.02
,360,Un,Mis,0.06,0,0,0
2018,PSV,NiIcSo,Adv,0,0,0.06,0
2018,WiiU,Le5,Mis,0,0,0.03,0
2018,3DS,Le5,Act,0,0,2.28,0
2019,3DS,Le5,Act,0,0,1.27,0
2017,3DS,Le5,Rol,0,0,2.68,0
2017,3DS,Ni,Rol,0.03,0,3.18,0
2016,3DS,Ni,Rol,0.21,0.3,1.33,0.04
2019,3DS,Le5,Act,0,0,0.55,0
2013,DS,D3,Act,0.1,0.03,0,0.01
2013,Wii,D3,Act,0.06,0.05,0,0.01
2012,Wii,JoPr,Spo,0.15,0.05,0,0.02
2009,PTwo,Ar,Adv,0,0,0.07,0
2013,PSP,KaSh,Adv,0,0,0.02,0
2009,GBA,St,Rol,0,0,0.03,0
2011,PSP,St,Rol,0.05,0,0.04,0.01
2011,DS,NaBaGa,Act,0,0,0.02,0
2010,DS,NaBaGa,Act,0,0,0.04,0
2011,Wii,TaTo,Rac,0,0,0.01,0
2011,DS,TaTo,Act,0,0,0.12,0
2001,PS,SoCoEn,Adv,0,0,0.35,0.02
2001,PS,SoCoEn,Adv,0,0,0.19,0.01
1985,2600,At,Sho,0.73,0.04,0,0.01
2013,DS,KoDiEn,Puz,0.11,0,0,0.01
2004,PTwo,TeKo,Spo,0.02,0.02,0,0.01
2009,PTwo,YaEn,Mis,0,0,0.02,0
2009,PSP,YaEn,Mis,0,0,0.02,0
2010,DS,NaBaGa,Mis,0,0,0.08,0
2010,DS,NaBaGa,Mis,0,0,0.12,0
2012,DS,ZoDiPu,Rac,0.1,0,0,0.01
2012,Wii,ZoDiPu,Rac,0.05,0.01,0,0.01
2017,PS3,Se,Act,0,0,0.26,0
2017,PFour,Se,Act,0,0,0.15,0
2014,PS3,Se,Sho,0.09,0.07,0.42,0.03
2018,PS3,Se,Act,0,0,0.25,0
2018,PFour,Se,Act,0,0,0.17,0
2019,PFour,Se,Adv,0,0,0.16,0
2019,PS3,Se,Adv,0,0,0.12,0
2015,PS3,Se,Act,0,0,0.59,0
,PS3,Se,Act,0.15,0.14,0.63,0.05
2012,PS3,Se,Act,0.21,0.21,0.62,0.08
2009,PTwo,Se,Adv,0.05,0.04,0.84,0.16
2008,PTwo,Se,Act,0.03,0.02,0.74,0.01
2015,PS3,Se,Act,0,0,0.11,0
1992,GB,Ni,Mis,0,0,1.28,0
2017,PS3,TeKo,Act,0.05,0.04,0,0.02
2017,360,TeKo,Act,0.03,0.02,0,0
2016,PSV,5p,Adv,0,0,0.02,0
2006,XB,TH,Sho,0.03,0.01,0,0
2005,GBA,Ac,Act,0.08,0.03,0,0
2005,PS,XSGa,Rac,0.13,0.09,0,0.02
2016,PC,Ae,Sim,0,0.02,0,0
2009,PTwo,Ac,Act,0.2,0.16,0,0.05
2009,360,Ac,Act,0.16,0.01,0,0.01
2009,GC,Ac,Act,0.12,0.03,0,0
2009,DS,Ac,Act,0.1,0,0,0.01
2009,XB,Ac,Act,0.08,0.02,0,0
2009,GBA,Ac,Act,0.05,0.02,0,0
2004,GBA,Ac,Act,0.2,0.08,0,0.01
2005,PTwo,Ac,Fig,0.23,0.18,0,0.06
2005,GC,Ac,Fig,0.1,0.03,0,0
2005,XB,Ac,Fig,0.08,0.02,0,0
2004,PS,Ac,Fig,0.4,0.27,0,0.05
2014,PS3,Ac,Act,0.14,0.08,0,0.03
2014,360,Ac,Act,0.18,0.05,0,0.02
2014,Wii,Ac,Act,0.08,0.02,0,0.01
2014,DS,Ac,Act,0.05,0.01,0,0
1998,SAT,AcEn,Fig,0,0,0.21,0
2001,PS,AcEn,Fig,0.06,0.04,0,0.01
2000,PS,Ca,Fig,0.16,0.11,0.12,0.03
2000,SAT,Ca,Fig,0,0,0.26,0
2012,PS3,Ac,Act,0.31,0.32,0,0.13
2012,360,Ac,Act,0.42,0.21,0,0.06
2012,PC,Ac,Act,0.02,0,0,0
2012,Wii,Ac,Act,0.19,0.04,0,0.02
2012,DS,Ac,Act,0.15,0.03,0,0.02
2012,PSP,Ac,Act,0.13,0.03,0,0.03
2012,PTwo,Ac,Act,0.13,0,0,0.05
2008,PTwo,Ac,Rol,0.53,0.02,0,0.09
2008,XB,Ac,Rol,0.3,0.12,0,0.02
2008,PSP,Ac,Rol,0.25,0.01,0,0.03
2008,GC,Ac,Rol,0.19,0.05,0,0.01
2007,PTwo,Ac,Rol,1,0.72,0,0.21
2007,XB,Ac,Rol,0.62,0.24,0,0.04
2007,GC,Ac,Rol,0.41,0.11,0,0.01
1985,2600,UnGa,Act,0.58,0.04,0,0.01
2006,PTwo,Ub,Sho,0.28,0.22,0,0.07
2006,XB,Ub,Sho,0.16,0.08,0,0.01
2006,GC,Ub,Sho,0.07,0.02,0,0
2015,DS,na,Pla,0,0.02,0,0
2009,PSP,KoDiEn,Act,0.05,0,0,0
2009,DS,KoDiEn,Act,0.05,0,0,0
2009,PSP,SoCoEn,Puz,0,0,0.01,0
2007,PTwo,EiIn,Rac,0.3,0.24,0,0.08
2006,PTwo,AcEn,Rac,0.03,0.02,0,0.01
2006,GC,AcEn,Rac,0.02,0,0,0
2006,XB,AcEn,Rac,0.02,0,0,0
2004,PTwo,AcEn,Rac,0.13,0.1,0,0.03
2004,GC,AcEn,Rac,0.12,0.03,0,0
2000,PS,SoCoEn,Sho,0.01,0.01,0.11,0.01
1987,NES,NaBaGa,Sho,0.18,0.06,1.27,0.01
2009,DS,NaBaGa,Rol,0,0,0.02,0
2009,PTwo,NaBaGa,Rol,0.09,0.07,0.18,0.02
2007,PTwo,SoCoEn,Rol,0.28,0.22,0,0.07
2005,PTwo,NaBaGa,Rol,0.63,0.49,0.45,0.17
2001,PS,Sq,Rol,0.29,0.19,0.89,0.1
2018,WiiU,Ni,Rol,0.36,0.28,0.14,0.06
2013,Wii,Ni,Rol,0.49,0.26,0.16,0.08
2018,3DS,Ni,Rol,0.26,0.14,0.12,0.04
2002,N64,Ti,Fig,0.23,0.06,0,0
2001,PS,ElAr,Adv,0.33,0.23,0,0.04
1998,PS,Mi,Str,0.05,0.04,0,0.01
2015,PC,TaIn,Str,0.26,0.36,0,0.1
2015,360,TaIn,Str,0.36,0.23,0,0.05
2015,PS3,TaIn,Str,0.24,0.25,0,0.11
2019,PC,TaIn,Str,0.09,0.1,0,0.02
2019,PFour,TaIn,Str,0.01,0.02,0,0.01
2019,One,TaIn,Str,0.01,0.01,0,0
2006,XB,MiGaSt,Mis,0.26,0.08,0,0.01
2009,360,MiGaSt,Mis,0.05,0.01,0,0.01
2018,PSV,ArSyWo,Adv,0.02,0,0,0.01
2018,PS3,ArSyWo,Adv,0.01,0,0,0
2016,PSV,ArSyWo,Adv,0.03,0,0.01,0.01
2016,PS3,ArSyWo,Adv,0.02,0,0.01,0
2012,360,SoGa,Act,0.1,0.02,0.02,0.01
2012,PS3,SoGa,Act,0.07,0.03,0.02,0.02
2015,PC,DeSi,Mis,0,0.02,0,0
2011,PC,DeSi,Sim,0,0.02,0,0.01
2006,PTwo,Ac,Pla,0.31,0.24,0,0.08
2006,XB,Ac,Pla,0.15,0.04,0,0.01
2006,GBA,Ac,Pla,0.14,0.05,0,0
2006,GC,Ac,Pla,0.09,0.02,0,0
2016,PC,KoMe,Sim,0,0.08,0,0.01
2011,Wii,De,Sim,0.27,0,0,0.02
1998,PS,AcEn,Fig,0.03,0.02,0,0
2002,N64,TH,Fig,1.2,0.25,0.02,0.02
2001,PS,AcEn,Fig,2.47,0.76,0,0.13
2001,N64,AcEn,Fig,1.08,0.24,0,0.02
2004,PTwo,TH,Fig,1.19,1.15,0.04,0.41
2003,PS,TH,Fig,1.76,1.21,0.07,0.16
2003,PS,TH,Fig,2.01,1.35,0.06,0.16
2005,XB,TH,Fig,0.4,0.13,0,0.02
2003,N64,TH,Fig,1.2,0.27,0.02,0.02
1999,PS,AcEn,Fig,0.35,0.24,0,0.04
2001,PS,AcEn,Fig,1.27,0.42,0,0.07
2002,N64,AcEn,Fig,0.57,0.13,0,0.01
2006,GC,TH,Fig,0.26,0.07,0,0.01
2005,GC,TH,Fig,0.38,0.1,0,0.01
2008,XB,TH,Fig,0.34,0.1,0,0.02
2007,GBA,TH,Fig,0.09,0.04,0,0
2008,PTwo,TH,Fig,1.45,1.11,0.04,0.33
2008,PSP,TH,Fig,0.36,0.01,0,0.03
2005,PTwo,TH,Fig,1.32,1.08,0.04,0.39
2005,PTwo,TH,Spo,1.45,1.13,0.07,0.38
2006,PTwo,TH,Fig,1.32,1.06,0.04,0.38
2013,PS3,TH,Fig,0.44,0.46,0.01,0.18
2013,360,TH,Fig,0.44,0.36,0,0.08
2013,PSP,TH,Fig,0.22,0.31,0,0.17
2013,Wii,TH,Fig,0.3,0.13,0,0.04
2013,PTwo,TH,Fig,0.24,0.07,0,0.07
2012,PS3,TH,Fig,0.48,0.49,0.01,0.2
2012,PTwo,TH,Fig,0.53,0.01,0,0.54
2012,360,TH,Fig,0.56,0.38,0.01,0.11
2012,Wii,TH,Fig,0.51,0.17,0,0.07
2012,PSP,TH,Fig,0.25,0.23,0,0.14
2012,DS,TH,Fig,0.35,0.14,0,0.05
2011,PTwo,TH,Fig,0.69,0,0,0.55
2011,PS3,TH,Fig,0.51,0.31,0.01,0.13
2011,360,TH,Fig,0.58,0.26,0,0.08
2011,Wii,TH,Fig,0.44,0.31,0,0.08
2011,PSP,TH,Fig,0.41,0.21,0,0.14
2011,DS,TH,Fig,0.15,0.02,0,0.01
2009,PTwo,TH,Fig,1.4,0.88,0.03,0.26
2009,PSP,TH,Fig,0.33,0.2,0,0.14
2009,360,TH,Fig,0.44,0.03,0,0.04
,PTwo,na,Fig,1.57,1.02,0,0.41
2010,PTwo,TH,Fig,0.92,0,0.01,1.41
2010,360,TH,Fig,0.92,0.38,0,0.13
2010,PS3,TH,Fig,0.62,0.5,0.01,0.21
2010,PSP,TH,Fig,0.45,0.47,0,0.28
2010,Wii,TH,Fig,0.38,0.5,0,0.11
2010,DS,TH,Fig,0.11,0.01,0,0.01
2005,GBA,TH,Fig,0.19,0.07,0,0
2006,XB,TH,Fig,0.43,0.11,0,0.02
2008,GC,TH,Fig,0.26,0.07,0,0.01
2007,GC,TH,Fig,0.35,0.09,0,0.01
2006,PTwo,TH,Rac,0.17,0.13,0,0.04
2006,GC,TH,Rac,0.06,0.02,0,0
2014,PS3,TH,Fig,0.16,0.18,0,0.07
2014,360,TH,Fig,0.18,0.14,0,0.03
2014,3DS,TH,Fig,0.15,0.06,0,0.02
2014,Wii,TH,Fig,0.11,0.07,0,0.02
2014,PSP,TH,Fig,0.12,0.04,0,0.03
2014,PTwo,TH,Fig,0.05,0.04,0,0.01
2018,PFour,TaIn,Spo,0.41,0.6,0,0.19
2018,One,TaIn,Spo,0.31,0.22,0,0.05
2018,PS3,TaIn,Spo,0.21,0.27,0,0.09
2018,360,TaIn,Spo,0.27,0.19,0,0.04
2017,PFour,TaIn,Spo,0.38,0.56,0,0.19
2017,PS3,TaIn,Spo,0.36,0.35,0,0.14
2017,360,TaIn,Spo,0.38,0.26,0,0.06
2017,One,TaIn,Spo,0.28,0.23,0,0.04
2016,PS3,TaIn,Spo,0.49,0.49,0,0.21
2016,360,TaIn,Spo,0.64,0.39,0,0.1
2015,PS3,TH,Act,0.51,0.62,0,0.26
2015,360,TH,Act,0.72,0.45,0,0.11
2015,Wii,TH,Act,0.12,0.02,0,0.01
2014,360,TH,Fig,0.74,0.4,0,0.12
2014,PS3,TH,Fig,0.53,0.46,0.02,0.17
2014,Wii,TH,Fig,0.24,0.09,0,0.03
2001,PS,Ac,Fig,0.27,0.18,0,0.03
2008,PSP,SoCoEn,Puz,0.04,0,0,0
2004,PTwo,KoDiEn,Spo,0.03,0.02,0,0.01
2005,GBA,KoDiEn,Spo,0.01,0,0,0
2005,XB,KoDiEn,Spo,0.01,0,0,0
2014,PS3,KoMe,Spo,0,0.07,0,0.02
2014,360,KoMe,Spo,0,0.04,0,0.01
2012,PS3,DeSi,Spo,0,0.01,0,0
2012,360,DeSi,Spo,0,0.01,0,0
,DS,Un,Mis,0,0,0.02,0
2010,PTwo,Yu,Fig,0,0,0.02,0
2009,PTwo,Yu,Fig,0,0,0.03,0
2011,PTwo,Tr,Fig,0,0,0.03,0
2005,XB,Ac,Rac,0.42,0.11,0.02,0.02
2005,PTwo,Ac,Rac,0.11,0.08,0,0.03
2005,GC,Ac,Rac,0.04,0.01,0,0
1988,NES,Ni,Pla,0,0,0.51,0
2001,PS,Te,Rac,0.05,0.03,0,0.01
2004,PTwo,SoCoEn,Rac,0.12,0.09,0,0.03
2008,PSP,SoCoEn,Rac,0.02,0.01,0,0.01
,PS3,BlBeGa,Rac,0,0.15,0.01,0.05
,360,BlBeGa,Rac,0,0.1,0,0.02
,PC,BlBeGa,Rac,0,0.01,0,0
2018,PS3,BiIn,Spo,0.02,0.09,0,0.02
2018,PSV,BiIn,Spo,0,0.06,0,0.02
2018,PFour,BiIn,Spo,0,0.04,0,0.01
2018,360,BiIn,Spo,0,0.02,0,0
2018,One,BiIn,Spo,0,0.01,0,0
2014,PS3,Ub,Rac,0,0.13,0,0.04
2014,360,Ub,Rac,0,0.06,0,0.01
2014,PC,Ub,Rac,0,0.01,0,0
2007,PTwo,Lu,Str,0.04,0.03,0,0.01
2007,XB,Lu,Str,0.03,0.01,0,0
2019,PFour,SoOu,Act,0.01,0.01,0,0
2014,PC,Un,Str,0,0.03,0,0
2010,PSP,TH,Str,0.04,0.26,0,0.14
2010,DS,TH,Str,0.07,0.25,0,0.04
2009,PSP,TH,Str,0.11,0.43,0,0.24
2009,DS,TH,Str,0.05,0.03,0,0.01
2013,Wii,TH,Str,0.11,0.1,0,0.02
2011,Wii,TH,Str,0.06,0.02,0,0.01
2004,PC,ViIn,Str,0,0.01,0,0
2005,GBA,Ub,Str,0.04,0.01,0,0
2013,PC,TeSo,Str,0,0.04,0,0.01
2007,PTwo,AcEn,Str,0.05,0.04,0,0.01
2007,XB,Se,Str,0.05,0.01,0,0
2005,GC,Ub,Puz,0.05,0.01,0,0
2002,PS,Mi,Str,0.18,0.81,0,0.08
2002,N64,In,Str,0.03,0.01,0,0
2008,XB,Co,Str,0.03,0.01,0,0
2006,PTwo,Se,Str,0.06,0.05,0,0.02
2006,GC,Se,Str,0.05,0.01,0,0
2006,XB,Se,Str,0.04,0.01,0,0
2000,PC,Mi,Str,0,0.01,0,0
2010,360,MiGaSt,Str,0,0.02,0,0
2012,PS3,SoCoEn,Str,0,0.02,0,0.01
2011,PC,Se,Sim,0,1.14,0,0.01
2010,PC,Ru,Spo,0,1.12,0,0
2009,PC,Se,Spo,0,0.02,0,0
2007,PC,Se,Spo,0,0.01,0,0
1997,SAT,Se,Spo,0,0,0.06,0
2012,PC,PlGaFa,Str,0.02,0,0,0
2004,PS,Ac,Rac,0.2,0.14,0,0.02
2009,XB,GrGa,Sho,0.02,0.01,0,0
2018,PSV,NaBaGa,Act,0,0,0.04,0
2007,PTwo,SoCoEn,Spo,0.08,0.06,0,0.02
2007,PTwo,SoCoEn,Spo,0.08,0.06,0,0.02
2005,PTwo,SoCoEn,Spo,0.07,0.05,0,0.02
2004,PTwo,SoCoEn,Spo,0.07,0.05,0,0.02
2009,PSP,SoCoEn,Spo,0.07,0,0,0.01
2008,PSP,SoCoEn,Spo,0.1,0.63,0,0.34
1999,PS,NaBaGa,Spo,0,0,0.41,0.03
2004,PS,NaBaGa,Spo,0,0,0.09,0.01
2003,PS,NaBaGa,Spo,0,0,0.15,0.01
2002,PS,NaBaGa,Spo,0,0,0.31,0.02
2001,PS,NaBaGa,Spo,0,0,0.42,0.03
2012,PS3,HuSo,Spo,0.02,0,0,0.01
2009,PTwo,KoDiEn,Spo,0,0,0.14,0
2008,PSP,KoDiEn,Spo,0.05,0,0,0
2008,PSP,KoDiEn,Spo,0.01,0.88,0.31,0
2008,PTwo,KoDiEn,Spo,0.12,2.26,0.9,0.77
2008,XB,KoDiEn,Spo,0.06,0.33,0.02,0.03
2008,PTwo,KoDiEn,Spo,0,0,0.47,0
2007,PTwo,KoDiEn,Spo,0.16,1.89,1.12,0.68
2007,XB,KoDiEn,Spo,0.07,0.02,0,0
2007,PTwo,KoDiEn,Spo,0,0,0.54,0
2006,PTwo,KoDiEn,Spo,0.08,1.24,1.13,0.45
2006,PTwo,KoDiEn,Spo,0.12,0.09,0,0.03
2005,PTwo,KoDiEn,Spo,0.12,1.26,1.16,0.45
2004,PTwo,KoDiEn,Spo,0,0,0.45,0
2013,PS3,KoDiEn,Spo,0,0,0.23,0
2013,PSP,KoDiEn,Spo,0,0,0.16,0
